               table               |                     index                      | index_size | is_unique | is_primary |                                                                    def                                                                    
 promotions                        | idx_promotions_priority                        | 16 kB      | f         | f          | CREATE INDEX idx_promotions_priority ON public.promotions USING btree (priority DESC)
 promotions                        | idx_promotions_usage                           | 16 kB      | f         | f          | CREATE INDEX idx_promotions_usage ON public.promotions USING btree (usage_limit, used_count)
 promotions                        | promotions_code_key                            | 16 kB      | t         | f          | CREATE UNIQUE INDEX promotions_code_key ON public.promotions USING btree (code)
 promotions                        | promotions_pkey                                | 16 kB      | t         | t          | CREATE UNIQUE INDEX promotions_pkey ON public.promotions USING btree (id)
 refunds                           | refunds_idempotency_key_idx                    | 8192 bytes | t         | f          | CREATE UNIQUE INDEX refunds_idempotency_key_idx ON public.refunds USING btree (idempotency_key)
 refunds                           | refunds_order_id_idem_key_ux                   | 8192 bytes | t         | f          | CREATE UNIQUE INDEX refunds_order_id_idem_key_ux ON public.refunds USING btree (order_id, idempotency_key)
 refunds                           | refunds_order_id_idx                           | 8192 bytes | f         | f          | CREATE INDEX refunds_order_id_idx ON public.refunds USING btree (order_id)
 refunds                           | refunds_pkey                                   | 8192 bytes | t         | t          | CREATE UNIQUE INDEX refunds_pkey ON public.refunds USING btree (id)
 refunds                           | refunds_status_idx                             | 8192 bytes | f         | f          | CREATE INDEX refunds_status_idx ON public.refunds USING btree (status)
 restock_jobs                      | restock_jobs_pkey                              | 8192 bytes | t         | t          | CREATE UNIQUE INDEX restock_jobs_pkey ON public.restock_jobs USING btree (id)
 restock_jobs                      | restock_jobs_refund_id_ux                      | 8192 bytes | t         | f          | CREATE UNIQUE INDEX restock_jobs_refund_id_ux ON public.restock_jobs USING btree (refund_id)
 restock_jobs                      | restock_jobs_run_at_idx                        | 8192 bytes | f         | f          | CREATE INDEX restock_jobs_run_at_idx ON public.restock_jobs USING btree (status, run_at)
 sales_audit_logs                  | idx_sales_audit_logs_action_time               | 16 kB      | f         | f          | CREATE INDEX idx_sales_audit_logs_action_time ON public.sales_audit_logs USING btree (action, created_at DESC)
 sales_audit_logs                  | idx_sales_audit_logs_actor                     | 16 kB      | f         | f          | CREATE INDEX idx_sales_audit_logs_actor ON public.sales_audit_logs USING btree (actor_staff_id, created_at DESC)
 sales_audit_logs                  | idx_sales_audit_logs_actor_action_time         | 16 kB      | f         | f          | CREATE INDEX idx_sales_audit_logs_actor_action_time ON public.sales_audit_logs USING btree (actor_staff_id, action, created_at DESC)
 sales_audit_logs                  | idx_sales_audit_logs_actor_staff_id_created_at | 16 kB      | f         | f          | CREATE INDEX idx_sales_audit_logs_actor_staff_id_created_at ON public.sales_audit_logs USING btree (actor_staff_id, created_at DESC)
 sales_audit_logs                  | idx_sales_audit_logs_order                     | 16 kB      | f         | f          | CREATE INDEX idx_sales_audit_logs_order ON public.sales_audit_logs USING btree (order_id)
 sales_audit_logs                  | idx_sales_audit_logs_order_id                  | 16 kB      | f         | f          | CREATE INDEX idx_sales_audit_logs_order_id ON public.sales_audit_logs USING btree (order_id)
 sales_audit_logs                  | sales_audit_logs_pkey                          | 16 kB      | t         | t          | CREATE UNIQUE INDEX sales_audit_logs_pkey ON public.sales_audit_logs USING btree (id)
 shipments                         | shipments_pkey                                 | 8192 bytes | t         | t          | CREATE UNIQUE INDEX shipments_pkey ON public.shipments USING btree (id)
 staff_login_attempts              | idx_staff_login_attempts_user_success_time     | 16 kB      | f         | f          | CREATE INDEX idx_staff_login_attempts_user_success_time ON public.staff_login_attempts USING btree (username, success, attempted_at DESC)
 staff_login_attempts              | idx_staff_login_attempts_username_attempted_at | 16 kB      | f         | f          | CREATE INDEX idx_staff_login_attempts_username_attempted_at ON public.staff_login_attempts USING btree (username, attempted_at DESC)
 staff_login_attempts              | idx_staff_login_attempts_username_time         | 16 kB      | f         | f          | CREATE INDEX idx_staff_login_attempts_username_time ON public.staff_login_attempts USING btree (username, attempted_at DESC)
 staff_login_attempts              | staff_login_attempts_pkey                      | 16 kB      | t         | t          | CREATE UNIQUE INDEX staff_login_attempts_pkey ON public.staff_login_attempts USING btree (id)
 staff_users                       | idx_staff_users_active                         | 16 kB      | f         | f          | CREATE INDEX idx_staff_users_active ON public.staff_users USING btree (is_active)
 staff_users                       | idx_staff_users_role                           | 16 kB      | f         | f          | CREATE INDEX idx_staff_users_role ON public.staff_users USING btree (role)
 staff_users                       | idx_staff_users_role_active                    | 16 kB      | f         | f          | CREATE INDEX idx_staff_users_role_active ON public.staff_users USING btree (role, is_active, updated_at DESC)
 staff_users                       | staff_users_pkey                               | 16 kB      | t         | t          | CREATE UNIQUE INDEX staff_users_pkey ON public.staff_users USING btree (id)
 staff_users                       | staff_users_username_key                       | 16 kB      | t         | f          | CREATE UNIQUE INDEX staff_users_username_key ON public.staff_users USING btree (username)
 store_settings                    | store_settings_pkey                            | 16 kB      | t         | t          | CREATE UNIQUE INDEX store_settings_pkey ON public.store_settings USING btree (key)
 variants                          | variants_pkey                                  | 16 kB      | t         | t          | CREATE UNIQUE INDEX variants_pkey ON public.variants USING btree (id)
 variants                          | variants_sku_key                               | 16 kB      | t         | f          | CREATE UNIQUE INDEX variants_sku_key ON public.variants USING btree (sku)
(148 rows)

